Drug,Primary indication,Virus,Group,Cell cultures/co-cultures,Primary cells/organoids,Animal model,Phase I,Phase II,Phase III,Phase IV,Approved,Potential target,Reference,Reference2,Virus Family,Virus Name,Viral disease,VirusImage,Drug_Bank_ID,PubChem_CID,Mode_of_action,InChI_Key
Silvestrol,Investigational anticancer,FLUAV,(-)ssRNA,*,,,,,,,,Human EIF4A,PMID:29258238,,Orthomyxoviridae,Influenza A virus,Influenza,34,,11787114,Inhibitor of translation initiation by targeting the RNA helicase,GVKXFVCXBFGBCD-QKDMMWSPSA-N
Simvastatin,Approved lipid-lowering,FLUAV,(-)ssRNA,*,,,,,,,,Human HMGCR,PMID:25882623,PMID: 28052847,Orthomyxoviridae,Influenza A virus,Influenza,34,DB00641,54454,HMG CoA reductase inhibitor,RYMZZMVNJRMUDD-HGQWONQESA-N
Sorafenib,Approved anticancer,FLUAV,(-)ssRNA,*,,,,,,,,Human RTKs,PMID:30883607,,Orthomyxoviridae,Influenza A virus,Influenza,34,DB00398,216239,B-Raf; FGFR-1; VEGFR-2 & -3; PDGFR-beta; KIT; and FLT3 inhibitor,MLDQJTXFUGDVEO-UHFFFAOYSA-N
Teicoplanin,Approved antibacterial,FLUAV,(-)ssRNA,*,,,,,,,,Human CTSL,PMID:30170320,,Orthomyxoviridae,Influenza A virus,Influenza,34,DB06149,16131923,Peptidoglycan polymerization inhibitor,BJNLLBUOHPVGFT-QRZIFLFXSA-N
Teriflunomide,Approved immunomodulatory,FLUAV,(-)ssRNA,*,,,,,,,,Unknown,https://www.biorxiv.org/content/biorxiv/early/2020/03/12/2020.03.11.983056.full.pdf,,Orthomyxoviridae,Influenza A virus,Influenza,34,DB08880,54684141,,UTNUDOFZCWSZMS-YFHOEESVSA-N
Topotecan,Approved anticancer,FLUAV,(-)ssRNA,*,,,,,,,,Human TOP1,PMID:27127234,,Orthomyxoviridae,Influenza A virus,Influenza,34,DB01030,60700,Topoisomerase I inhibitor. Camptothecin analog,UCFGDBYHRUNTLO-QHCPKHFHSA-N
Trametinib,Approved anticancer,FLUAV,(-)ssRNA,*,,,,,,,,Human MEK1/MEK2,PMID:29990517,,Orthomyxoviridae,Influenza A virus,Influenza,34,DB08911,175427149,Mitogen activated protein-kinase inhibitor,LIRYPHYGHXZJBZ-UHFFFAOYSA-N
Verapamil,Approved antiarrhythmic,FLUAV,(-)ssRNA,*,,,,,,,,Human CACNA1C,PMID:6743023,,Orthomyxoviridae,Influenza A virus,Influenza,34,DB00661,2520,Voltage-dependent calcium channels inhibitor,SGTNSNPWRIOYBX-UHFFFAOYSA-N
Zanamivir,Approved antiviral,FLUAV,(-)ssRNA,,,,,*,,,*,Viral NA,DB00558,,Orthomyxoviridae,Influenza A virus,Influenza,34,DB00558,60855,Neuraminidase inhibitor,ARAIBEBZBOPLMB-UFGQHTETSA-N
ABT-263,Investigational anticancer,FLUBV,(-)ssRNA,*,,,,,,,,Human BCL2,PMID:23887633,,Orthomyxoviridae,Influenza B virus,Influenza,34,DB12340,24978538,Bcl-2/Bcl-xL inhibitor,JLYAXFNOILIKPP-KXQOOQHDSA-N
Aprotinin,Approved antifibrinilytic,FLUBV,(-)ssRNA,*,,,,,,,,Multiple,PMID:7515225,DB00254,Orthomyxoviridae,Influenza B virus,Influenza,34,DB06692,53487898,Serine protease inhibitor,ZPNFWUPYTFPOJU-YSFZTAPISA-N
Arbidol (Umifenovir),Approved antiviral,FLUBV,(-)ssRNA,,,,,,*,*,*,Multiple,CID:131411; NCT01651663,,Orthomyxoviridae,Influenza B virus,Influenza,34,DB13609,131411,,KCFYEAOKVJSACF-UHFFFAOYSA-N
Brequinar,Investigational anticancer,FLUBV,(-)ssRNA,*,,,,,,,,Viral Genome Replication,PMID:31941776,,Orthomyxoviridae,Influenza B virus,Influenza,34,DB03523,57030,Inhibition of Viral Genome Replication,PZOHOALJQOFNTB-UHFFFAOYSA-M
Camostat,Approved anticancer,FLUBV,(-)ssRNA,*,,,,,,,,Human PRSS1,PMID:1510439,,Orthomyxoviridae,Influenza B virus,Influenza,34,DB13729,2536,,XASIMHXSUQUHLV-UHFFFAOYSA-N
Favipiravir,Approved antiviral,FLUBV,(-)ssRNA,,,,,*,,,*,Viral RNA pol,CID:492405; NCT03394209,,Orthomyxoviridae,Influenza B virus,Influenza,34,DB12466,492405,Viral RNA polymerase inhibitor,ZCGNOVWYSGBHAU-UHFFFAOYSA-N
Nafamostat,Approved anticoagulant,FLUBV,(-)ssRNA,*,,,,,,,,Human TMPRSS2,PMID:1510439,,Orthomyxoviridae,Influenza B virus,Influenza,34,DB12598,4413,Synthetic serine protease inhibitor,MQQNFDZXWVTQEH-UHFFFAOYSA-N
Teicoplanin,Approved antibacterial,FLUBV,(-)ssRNA,*,,,,,,,,Human CTSL,PMID:30170320,,Orthomyxoviridae,Influenza B virus,Influenza,34,DB06149,16131923,Peptidoglycan polymerization inhibitor,BJNLLBUOHPVGFT-QRZIFLFXSA-N
Zanamivir,Approved antiviral,FLUBV,(-)ssRNA,,,,,*,,,*,Viral NA,DB00558,,Orthomyxoviridae,Influenza B virus,Influenza,34,DB00558,60855,Neuraminidase inhibitor,ARAIBEBZBOPLMB-UFGQHTETSA-N
Favipiravir,Approved antiviral,FLUCV,(-)ssRNA,,,,,*,,,*,Viral RNA pol,CID:492405; NCT03394209,,Orthomyxoviridae,Influenza C virus,Influenza,34,DB12466,492405,Viral RNA polymerase inhibitor,ZCGNOVWYSGBHAU-UHFFFAOYSA-N
Favipiravir,Approved antiviral,HATV,(+)ssRNA,*,,,,,,,,Viral RNA pol,PMID: 31864069,,Astroviridae,Human Astrovirus,Gastroenteritis,-1,DB12466,492405,Viral RNA polymerase inhibitor,ZCGNOVWYSGBHAU-UHFFFAOYSA-N
Ribavirin,Approved antiviral,HATV,(+)ssRNA,*,,,,,,,,Viral RNA pol,PMID: 31864069,,Astroviridae,Human Astrovirus,Gastroenteritis,-1,DB00811,37542,Nucleoside inhibitor; Guanosine (ribonucleic) analog,IWUCXVSUMQZMFG-AFCXAGJDSA-N
Tilorone (Amixin),Approved antiviral (Russia and Ukraine),HAV,(+)ssRNA,,,,,,,,*,Unknown,https://www.rlsnet.ru/tn_index_id_1526.htm,,Picornaviridae,Hepatitis A virus,Hepatitis A,86,,5475,Interferon inducer,MPMFCABZENCRHV-UHFFFAOYSA-N
ABT-263,Investigational anticancer,HBV,dsDNA-RT,*,,,,,,,,Human BCL2,PMID:28946654,,Hepadnaviridae,Hepatitis B virus,Hepatitis B,35,DB12340,24978538,Bcl-2/Bcl-xL inhibitor,JLYAXFNOILIKPP-KXQOOQHDSA-N
Bortezomib,Approved anticancer,HBV,dsDNA-RT,*,,*,,,,,,Human PSMB5,PMID:19949053,,Hepadnaviridae,Hepatitis B virus,Hepatitis B,35,DB00188,387447,Proteasome inhibitor (26S subunit),GXJABQQUPOEUTA-DOTOQJQBSA-N
CYT107,Investigational antiviral,HBV,dsDNA-RT,,,,*,*,,,,Human CD127,NCT01027065,,Hepadnaviridae,Hepatitis B virus,Hepatitis B,35,DB11997,347911267,CYT-107 is manufactured version of interleukin-7; a protein,
Emodin,Investigational anticancer,HBV,dsDNA-RT,*,,*,,,,,,Multiple,PMID:19960563,,Hepadnaviridae,Hepatitis B virus,Hepatitis B,35,DB07715,3220,,RHMXXJGYXNZAPX-UHFFFAOYSA-N
Ezetimibe,Approved lipid-lowering,HBV,dsDNA-RT,*,,,,,,,,Human NTCP,PMID:25034482,,Hepadnaviridae,Hepatitis B virus,Hepatitis B,35,DB00973,150311,Intestinal cholesterol and related phytosterol absorption inhibitor,OLNTVTPDXPETLC-XPWALMASSA-N
Genistin, Investigational antidepressant,HBV,dsDNA-RT,,*,,,,,,,Multiple,PMID27746336,,Hepadnaviridae,Hepatitis B virus,Hepatitis B,35,,5281377,,ZCOLJUOHXJRHDI-CMWLGVBASA-N
Homoharringtonine,Approved anticancer,HBV,dsDNA-RT,*,,,,,,,,Human ribosome,PMID:17458779,,Hepadnaviridae,Hepatitis B virus,Hepatitis B,35,DB04865,285033,Protein translation inhibitor,HYFHYPWGAURHIV-JFIAXGOJSA-N
Irbesartan,Approved,HBV,dsDNA-RT,*,,,,,,,,"AGTR1,AP-1",PMID: 25929767,,Hepadnaviridae,Hepatitis B virus,Hepatitis B,35,DB01029,3749,Angiotensin receptor blocker (ARB) ,YOSHYTLCDANDAN-UHFFFAOYSA-N
Lamivudine,Approved antiviral,HBV,dsDNA-RT,,,,,,,,*,Viral RT,CID:60825; DB00709 ,,Hepadnaviridae,Hepatitis B virus,Hepatitis B,35,DB00709,60825,Reverse transcriptase inhibitor and zalcitabine analog,JTEGQNOMFQHVDC-NKWVEPMBSA-N
Lobucavir,Investigational antiviral,HBV,dsDNA-RT,*,,,,,,,,Viral DNA pol,PMID:10760047,,Hepadnaviridae,Hepatitis B virus,Hepatitis B,35,DB12531,60786,,GWFOVSGRNGAGDL-FSDSQADBSA-N
Luteolin,Approved anticancer,HBV,dsDNA-RT,*,,,,,,,,Unknown,PMID:29270164,,Hepadnaviridae,Hepatitis B virus,Hepatitis B,35,,5280445,,IQPNAANSBPBGFQ-UHFFFAOYSA-N
Metformin,Approved anti-T2D,HBV,dsDNA-RT,*,,,,,,,,Human AMPK,PMID:24164660,,Hepadnaviridae,Hepatitis B virus,Hepatitis B,35,DB00331,4091,AMPK activator,XZWYZXLIPXDOLR-UHFFFAOYSA-N
Nitazoxanide,Approved antiprotozoal,HBV,dsDNA-RT,*,,,,*,,,,Multiple,PMID:21553812; NCT03905655,,Hepadnaviridae,Hepatitis B virus,Hepatitis B,35,DB00507,41684,Pyruvate inhibitor,YQNQNVDNTFHQSW-UHFFFAOYSA-N
Rapamycin (Sirolimus),Approved immunosuppressant,HBV,dsDNA-RT,*,,,,,,,,Human MTOR,PMID:29730285,,Hepadnaviridae,Hepatitis B virus,Hepatitis B,35,DB00877,5284616,IL-2-dependent T-cell proliferation inhibitor,QFJCIRLUMZQUOT-HPLJOQBZSA-N
Simvastatin,Approved lipid-lowering,HBV,dsDNA-RT,*,,,*,,,,,Human HMGCR,PMID:27779671; NCT00994773,,Hepadnaviridae,Hepatitis B virus,Hepatitis B,35,DB00641,54454,HMG CoA reductase inhibitor,RYMZZMVNJRMUDD-HGQWONQESA-N
Tenofovir,Approved antiviral,HBV,dsDNA-RT,,,,,,*,*,*,Viral RT,CID:464205; NCT02039362,,Hepadnaviridae,Hepatitis B virus,Hepatitis B,35,DB14126,464205,Nucleotide analog reverse transcriptase inhibitor,SGOIRFVFHAKUTI-ZCFIWIBFSA-N
Thymalfasin,Approved antiviral,HBV,dsDNA-RT,,,,,,,*,*,Unknown,CID:16130571; NCT03448744,,Hepadnaviridae,Hepatitis B virus,Hepatitis B,35,DB04900,16130571,Th1 cell stimulant; Th2 cell inhibitor; Th2 cell modulator,NZVYCXVTEHPMHE-ZSUJOUNUSA-N
Tilorone (Amixin),Approved antiviral (Russia and Ukraine),HBV,dsDNA-RT,,,,,,,,*,Unknown,https://www.rlsnet.ru/tn_index_id_1526.htm,,Hepadnaviridae,Hepatitis B virus,Hepatitis B,35,,5475,Interferon inducer,MPMFCABZENCRHV-UHFFFAOYSA-N
Valacyclovir,Approved antiviral,HBV,dsDNA-RT,,,,,,,,*,Viral DNA pol,CID:135398741,,Hepadnaviridae,Hepatitis B virus,Hepatitis B,35,DB00577,60773, Nucleoside analog DNA polymerase enzyme inhibitor; L-valine ester of aciclovir.,HDOVUKNUBWVHOX-QMMMGPOBSA-N
Alisporivir,Investigational antiviral,HCoV-229E,(+)ssRNA,*,,,,,,,,Human CYPA,PMID:27840112,,Coronaviridae,Human coronavirus strain 229E,Common cold,8,DB12139,11513676,,OLROWHGDTNFZBH-XEMWPYQTSA-N
Remdesivir,Investigational antiviral,HCoV-229E,(+)ssRNA,*,,,,,,,,Viral RNA pol,PMID:31233808,,Coronaviridae,Human coronavirus strain 229E,Common cold ,8,DB14761,121304016,Viral RNA polymerase inhibitor,RWWYLEGWBNMMLJ-YSOARWBDSA-N
Silvestrol,Investigational anticancer,HCoV-229E,(+)ssRNA,*,,,,,,,,Human EIF4A,PMID:29258862,,Coronaviridae,Human coronavirus strain 229E,Common cold ,8,,11787114,Inhibitor of translation initiation by targeting the RNA helicase,GVKXFVCXBFGBCD-QKDMMWSPSA-N
Emetine,Approved antiprotozoal,HCoV-NL63,(+)ssRNA,*,,,,,,,,Human ribosome,PMID:30918074,,Coronaviridae,Human coronavirus strain NL63,Respiratory tract infection,,DB13393,10219,,AUVVAXYIELKVAI-CKBKHPSWSA-N
Monensin,Approved antibacterial,HCoV-NL63,(+)ssRNA,*,,,,,,,,Unknown,PMID:30918074,,Coronaviridae,Human coronavirus strain NL63,Respiratory tract infection,8,DB11430,441145,,GAOZTHIDHYLHMS-KEOBGNEYSA-N
Mycophenolic acid,Approved immunosuppressant,HCoV-NL63,(+)ssRNA,*,,,,,,,,Human IMPDH,PMID:30918074,,Coronaviridae,Human coronavirus strain NL63,Respiratory tract infection,8,DB01024,446541,Inosine monophosphate dehydrogenase inhibitor,HPNSFSBZBAHARI-RUDMXATFSA-N
Cepharanthine,Approved anti-inflammatory and cancer (Japan),HCoV-OC43,(+)ssRNA,*,,,,,,,,NPC1,PMCID: PMC6921063,,Coronaviridae,Human coronavirus OC43,Common cold ,8,,10206,,YVPXVXANRNDGTA-WDYNHAJCSA-N
Chloroquine,Approved antimalarial,HCoV-OC43,(+)ssRNA,*,,,,,,,,Unknown,PMID:27381385,,Coronaviridae,Human coronavirus OC43,Common cold ,8,DB00608,2719,Antimalaria agent; chemo/radio sensitizer,QKICWELGRMTQCR-UHFFFAOYSA-N
Emetine,Approved antiprotozoal,HCoV-OC43,(+)ssRNA,*,,,,,,,,Human ribosome,PMID:30918074,PMID: 595108,Coronaviridae,Human coronavirus OC43,Common cold ,8,DB13393,10219,,AUVVAXYIELKVAI-CKBKHPSWSA-N
Memantine,Approved anti-alzheimer's disease,HCoV-OC43,(+)ssRNA,*,,*,,,,,,Human GRIN3A,PMID:24227863,,Coronaviridae,Human coronavirus OC43,Common cold ,8,DB01043,4054,N-methyl-D-aspartate glutamate receptor antagonist,BUGYDGFZZOZRHP-UHFFFAOYSA-N
Monensin,Approved antibacterial,HCoV-OC43,(+)ssRNA,*,,,,,,,,Unknown,PMID:30918074,,Coronaviridae,Human coronavirus OC43,Common cold,8,DB11430,441145,,GAOZTHIDHYLHMS-KEOBGNEYSA-N
Mycophenolic acid,Approved immunosuppressant,HCoV-OC43,(+)ssRNA,*,,,,,,,,Human IMPDH,PMID:30918074,,Coronaviridae,Human coronavirus OC43,Common cold ,8,DB01024,446541,Inosine monophosphate dehydrogenase inhibitor,HPNSFSBZBAHARI-RUDMXATFSA-N
Remdesivir,Investigational antiviral,HCoV-OC43,(+)ssRNA,*,,,,,,,,Viral RNA pol,PMID:31233808,,Coronaviridae,Human coronavirus OC43,Common cold ,8,DB14761,121304016,Viral RNA polymerase inhibitor,RWWYLEGWBNMMLJ-YSOARWBDSA-N
4-HPR (Fenretinide),Approved anticancer,HCV,(+)ssRNA,*,,,,,,,,Viral RNA pol,PMID:25313218,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB05076,5288209,Unclear,AKJHMTWEGVYYSE-FXILSDISSA-N
Acetylsalicylic acid,Approved anti-inflammatory,HCV,(+)ssRNA,*,,,,,,,,Human PTGS1,PMID:26289738,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB00945,2244,Cyclooxygenase inhibitor,BSYNRYMUTXBXSQ-UHFFFAOYSA-N
Alisporivir,Investigational antiviral,HCV,(+)ssRNA,,,,*,*,*,,,Human CYPA,NCT02753699,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB12139,11513676,,OLROWHGDTNFZBH-XEMWPYQTSA-N
Amiodarone,Approved antiarrhythmic,HCV,(+)ssRNA,*,,,,,,,,Human CYPs,PMID:23659500,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB01118,2157,Non-competitive ß-adrenergic inhibitor,Approved
Amodiaquine,Approved antimalarial,HCV,(+)ssRNA,*,,,,,,,,Unknown,PMID:30791609,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB00613,2165,Methyltransferase inhibitor,OVCDSSHSILBFBN-UHFFFAOYSA-N
Azithromycin,Approved antibacterial,HCV,(+)ssRNA,*,,,,,,,,Unknown,doi: 10.3389/fimmu.2019.02186,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB00207,447043,,MQTOSJVFKKJCRP-BICOPXKESA-N
BCX4430 (Galidesivir),Approved antiviral,HCV,(+)ssRNA,*,,,,,,,,Viral RNA pol,CID:69211190,PMID: 27242151,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB11676,10445549,RNA-dependent RNA polymerase (RdRp) inhibitor,AMFDITJFBUXZQN-KUBHLMPHSA-N
Benztropine,Approved anticholinergic,HCV,(+)ssRNA,*,,,,,,,,Presynaptic carrier-mediated DAT,PMID: 24709263,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB00245,1201549,Selective inhibition of dopamine transporters but it also presents affinity for histamine and muscarine receptors,GIJXKZJWITVLHI-PMOLBWCYSA-N
Berberine,Investigational anticancer,HCV,(+)ssRNA,*,,,,,,,,Unknown,PMID:30668413,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB04115,2353,AMP-activated protein kinase (AMPK) activator,YBHILYKTIRIUTE-UHFFFAOYSA-N
Caffeine,Approved anti-bronchopulmonary dysplasia,HCV,(+)ssRNA,*,,,*,,,,,Viral RNA pol,PMID:25491197; NCT01525628,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB00201,2519,Adenosine-receptor antagonist,RYYVLZVUVIJVGH-UHFFFAOYSA-N
Camptothecin,Investigational anticancer,HCV,(+)ssRNA,*,,,,,,,,Human TOP1,PMID:26045353,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB04690,24360,Topoisomerase I inhibitor,VSJKWCGYPAHWDS-FQEVSTJZSA-N
Chloroquine,Approved antimalarial,HCV,(+)ssRNA,,,,,,,*,,Unknown,NCT02058173,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB00608,2719,Antimalaria agent; chemo/radio sensitizer,QKICWELGRMTQCR-UHFFFAOYSA-N
Cidofovir,Approved antiviral,HCV,(+)ssRNA,*,,,,,,,,Unknown,doi: 10.3389/fimmu.2019.02186,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB00369,60613,Viral DNA polymerase inhibitor,FPKARFMSZDBYQF-ILKKLZGPSA-N
Cyclosporine,Approved immunosuppressant,HCV,(+)ssRNA,*,,,,*,*,*,,Human CYPA,PMID:16382464; NCT00821587,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB00091,5284373,Calcineurin inhibitor; allows for inhibition of T cell activation,PMATZTZNYRCHOR-CGLBZJNRSA-N
CYT107,Investigational antiviral,HCV,(+)ssRNA,,,,*,*,,,,Human CD127,NCT01025596,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB11997,347911267,CYT-107 is manufactured version of interleukin-7; a protein,
Dasatinib,Approved anticancer,HCV,(+)ssRNA,*,,,,,,,,Human RTKs,PMID:28674529,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB01254,3062316,Abl; Src; Kit; EphR... Inhibitor,ZBNZXTGUTAYRHI-UHFFFAOYSA-N
Dibucaine,Approved anesthetic,HCV,(+)ssRNA,*,,,,,,,,Multiple,PMID:31636628,,Flaviviridae,Hepatitis C virus,Hepatitis C,-1,DB00527,3025,,PUFQVTATUTYEAL-UHFFFAOYSA-N
Erlotinib,Approved anticancer,HCV,(+)ssRNA,*,,,*,*,,,,Human RTKs,PMID:28240606; NCT01835938,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB00530,176870,EGFR inhibitor,AAKJLRGGTJKAMG-UHFFFAOYSA-N
Ezetimibe,Approved lipid-lowering,HCV,(+)ssRNA,,,,,,*,*,,Human NTCP,NCT02971033; NCT02768545,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB00973,150311,Intestinal cholesterol and related phytosterol absorption inhibitor,OLNTVTPDXPETLC-XPWALMASSA-N
Fluoxetine,Approved antidepressant,HCV,(+)ssRNA,*,,,,,,,,Viral helicase,PMID:25151487,PMID: 12562719,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB00472,3386,Selective serotonin reuptake inhibitor,RTHCYVBBDHJXIQ-UHFFFAOYSA-N
Fluvastatin,Approved lipid-lowering,HCV,(+)ssRNA,,,,*,,,,,Human HMGCR,NCT00441493,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB01095,1548972,Hydroxymethylglutaryl-coenzyme A (HMG-CoA) reductase inhibitor,FJLGEFLZQAZZCD-JUFISIKESA-N
Gefitinib,Approved antivcancer,HCV,(+)ssRNA,*,,,,,,,,Human RTKs,doi: 10.3389/fimmu.2019.02186,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB00317,123631,EGFR inhibitor,XGALLCVXEZPNRQ-UHFFFAOYSA-N
Gemcitabine,Approved anticancer,HCV,(+)ssRNA,*,,,,,,,,Human RRM1,PMID:22347373,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB00441,60750,Antimetabolite; Nucleoside analog,SDUQYLNIPVEERB-QPPQHZFASA-N
Glycyrrhizin,Approved anti-inflammatory,HCV,(+)ssRNA,*,,,,,,,,Human TNF,PMID:23874843,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB13751,14982,,LPLVUJXQOOQHMX-QWBHMCJMSA-N
Imatinib,Approved anticancer,HCV,(+)ssRNA,*,,,,,,,,Human RTKs,PMID:28674529,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB00619,5291,Abl; Kit; PDGFRB inhibitor,KTUFNOKKBVMGRW-UHFFFAOYSA-N
Labyrinthopeptin A1,Research compound,HCV,(+)ssRNA,*,,,,,,,,viral membrane lipid phosphatidylethanolamine,PMID:31666384,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,,,Viral membrane perforation,
Labyrinthopeptin A2,Research compound,HCV,(+)ssRNA,*,,,,,,,,viral membrane lipid phosphatidylethanolamine,PMID:31666384,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,,,Viral membrane perforation,
Minocycline,Approved antibacterial,HCV,(+)ssRNA,*,,,,,,,,Human PADI4,doi: 10.3389/fimmu.2019.02186,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB01017,54675783,Bacterial protein synthesis inhibitor by binding with the 30S ribosomal subunit.,DYKFCLLONBREIL-KVUCHLLUSA-N
Mitoxantrone,Approved anticancer,HCV,(+)ssRNA,*,,,,,,,,Human TOP2,PMID:30791609,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB01204,4212,Topoisomerase II inhibitor,KKZJGLLVHKMTCM-UHFFFAOYSA-N
Mycophenolic acid,Approved immunosuppressant,HCV,(+)ssRNA,*,,,,,,,,Human IMPDH,PMID:30211024,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB01024,446541,Inosine monophosphate dehydrogenase inhibitor,HPNSFSBZBAHARI-RUDMXATFSA-N
Nelfinavir,Approved antiviral,HCV,(+)ssRNA,*,,,,,,,,Viral protease,PMID:19302339,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB00220,64143,HIV protease inhibitor,QAGYKUNXZHXKMR-HKWSIXNMSA-N
Nitazoxanide,Approved antiprotozoal,HCV,(+)ssRNA,,,,,*,*,*,,Multiple,NCT01770483,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB00507,41684,Pyruvate inhibitor,YQNQNVDNTFHQSW-UHFFFAOYSA-N
Oritavancin,Approved antibacterial,HCV,(+)ssRNA,*,,,,,,,,Human CTSL,doi: 10.3389/fimmu.2019.02186,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB04911,16136912,Transglycosylation; transpeptidation and cell membrane interaction/disruption inhibitor,VHFGEBVPHAGQPI-LXKZPTCJSA-N
Pirlindole,Approved antidepressant,HCV,(+)ssRNA,*,,,,,,,,Viral helicase,PMID:31636628,,Picornaviridae,Enterovirus C,"Mild respiratory symptoms, rarely brain and heart conditions, pneumonia and hepatitis",86,DB09244,68802,,IWVRVEIKCBFZNF-UHFFFAOYSA-N
Rapamycin (Sirolimus),Approved immunosuppressant,HCV,(+)ssRNA,,,,,*,,*,,Human MTOR,NCT01469884,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB00877,5284616,IL-2-dependent T-cell proliferation inhibitor,QFJCIRLUMZQUOT-HPLJOQBZSA-N
Remdesivir,Investigational antiviral,HCV,(+)ssRNA,*,,,,,,,,Viral RNA pol,PMID:28262699,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB14761,121304016,Viral RNA polymerase inhibitor,RWWYLEGWBNMMLJ-YSOARWBDSA-N
Ribavirin,Approved antiviral,HCV,(+)ssRNA,,,,,,,*,*,Viral RNA pol,CID:37542; DB00811; NCT03069001,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB00811,37542,Nucleoside inhibitor; Guanosine (ribonucleic) analog,IWUCXVSUMQZMFG-AFCXAGJDSA-N
Simvastatin,Approved lipid-lowering,HCV,(+)ssRNA,,,,,*,,,,Human HMGCR,NCT03490097,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB00641,54454,HMG CoA reductase inhibitor,RYMZZMVNJRMUDD-HGQWONQESA-N
Sofosbuvir,Approved antiviral,HCV,(+)ssRNA,,,,,*,*,*,*,Viral RNA pol,CID:45375808; DB08934; NCT03069001,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB08934,45375808,Nucleotide analog inhibitor of HCV NS5B RNA-dependent RNA polymerase,TTZHDVOVKQGIBA-IQWMDFIBSA-N
Sorafenib,Approved anticancer,HCV,(+)ssRNA,*,,,,,,,,Human RTKs,PMID:23281732,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB00398,216239,B-Raf; FGFR-1; VEGFR-2 & -3; PDGFR-beta; KIT; and FLT3 inhibitor,MLDQJTXFUGDVEO-UHFFFAOYSA-N
Sunitinib,Approved anticancer,HCV,(+)ssRNA,*,,,,,,,,Human RTKs,PMID:28240606,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB01268,5329102,Broad TK inhibitor,WINHZLLDWRZWRT-ATVHPVEESA-N
Suramin,Approved antiprotozoal,HCV,(+)ssRNA,*,,,,,,,,Multiple,PMID:10022794,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB04786,5361,Unclear,FIAFUQMPZJWCLV-UHFFFAOYSA-N
Tamoxifen,Approved anticancer,HCV,(+)ssRNA,*,,,*,,,,,Human ER,PMID:17704057,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB00675,2733526,Estrogen receptor antagonist,NKANXQFJJICGDU-QPLCGJKRSA-N
Thymalfasin,Approved antiviral,HCV,(+)ssRNA,,,,,,*,,*,Unknown,CID:16130571; NCT01178996,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB04900,16130571,Th1 cell stimulant; Th2 cell inhibitor; Th2 cell modulator,NZVYCXVTEHPMHE-ZSUJOUNUSA-N
Tilorone (Amixin),Approved antiviral (Russia and Ukraine),HCV,(+)ssRNA,,,,,,,,*,Unknown,https://www.rlsnet.ru/tn_index_id_1526.htm,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,,5475,Interferon inducer,MPMFCABZENCRHV-UHFFFAOYSA-N
Topotecan,Approved anticancer,HCV,(+)ssRNA,*,,,,,,,,Human TOP1,PMID:23529728,,Flaviviridae,Hepatitis C virus,Hepatitis C,2,DB01030,60700,Topoisomerase I inhibitor. Camptothecin analog,UCFGDBYHRUNTLO-QHCPKHFHSA-N
